start_index	end_index	word_node	word
19	20	403873	W-
21	25	403874	JBDL 
26	30	403875	DWJD 
31	32	403876	W-
33	36	403877	FRJ 
37	38	403878	H-
39	42	403879	YB> 
43	44	403880	L-
45	49	403881	<BDH 
50	51	403882	L-
52	55	403883	BNJ 
56	59	403884	>SP 
60	61	403885	W-
62	66	403886	HJMN 
67	68	403887	W-
69	75	403888	JDWTWN 
76	77	403889	H-
78	84	403890	NBJ>JM 
85	86	403891	B-
87	92	403892	KNRWT 
93	94	403893	B-
95	100	403894	NBLJM 
101	102	403895	W-
103	104	403896	B-
105	111	403897	MYLTJM 
112	113	403898	W-
114	117	403899	JHJ 
118	124	403900	MSPR+M 
125	129	403901	>NCJ 
130	135	403902	ML>KH 
136	137	403903	L-
138	144	403904	<BDT+M 
148	149	403905	L-
150	153	403906	BNJ 
154	157	403907	>SP 
158	162	403908	ZKWR 
163	164	403909	W-
165	169	403910	JWSP 
170	171	403911	W-
172	177	403912	NTNJH 
178	179	403913	W-
180	186	403914	>FR>LH 
187	190	403915	BNJ 
191	194	403916	>SP 
195	197	403917	<L 
198	200	403918	JD 
201	204	403919	>SP 
205	206	403920	H-
207	210	403921	NB> 
211	213	403922	<L 
214	217	403923	JDJ 
218	219	403924	H-
220	223	403925	MLK 
227	228	403926	L-
229	235	403927	JDWTWN 
236	239	403928	BNJ 
240	246	403929	JDWTWN 
247	253	403930	GDLJHW 
254	255	403931	W-
256	259	403932	YRJ 
260	261	403933	W-
262	268	403934	JC<JHW 
269	275	403935	XCBJHW 
276	277	403936	W-
278	284	403937	MTTJHW 
285	288	403938	CCH 
289	291	403939	<L 
292	295	403940	JDJ 
296	302	403941	>BJ+HM 
303	309	403942	JDWTWN 
310	311	403943	B-
312	312	403944	-
313	317	403945	KNWR 
318	319	403946	H-
320	323	403947	NB> 
324	326	403948	<L 
327	331	403949	HDWT 
332	333	403950	W-
334	337	403951	HLL 
338	339	403952	L-
340	344	403953	JHWH 
348	349	403954	L-
350	354	403955	HJMN 
355	358	403956	BNJ 
359	363	403957	HJMN 
364	369	403958	BQJHW 
370	376	403959	MTNJHW 
377	382	403960	<ZJ>L 
383	388	403961	CBW>L 
389	390	403962	W-
391	397	403963	JRJMWT 
398	403	403964	XNNJH 
404	408	403965	XNNJ 
409	415	403966	>LJ>TH 
416	421	403967	GDLTJ 
422	423	403968	W-
424	433	403969	RMMTJ_<ZR 
434	440	403970	JCBQCH 
441	446	403971	MLWTJ 
447	452	403972	HWTJR 
453	460	403973	MXZJ>WT 
464	466	403974	KL 
467	470	403975	>LH 
471	475	403976	BNJM 
476	477	403977	L-
478	482	403978	HJMN 
483	486	403979	XZH 
487	488	403980	H-
489	492	403981	MLK 
493	494	403982	B-
495	499	403983	DBRJ 
500	501	403984	H-
502	507	403985	>LHJM 
508	509	403986	L-
510	514	403987	HRJM 
515	518	403988	QRN 
519	520	403989	W-
521	524	403990	JTN 
525	526	403991	H-
527	532	403992	>LHJM 
533	534	403993	L-
535	539	403994	HJMN 
540	544	403995	BNJM 
545	550	403996	>RB<H 
551	554	403997	<FR 
555	556	403998	W-
557	561	403999	BNWT 
562	566	404000	CLWC 
570	572	404001	KL 
573	576	404002	>LH 
577	579	404003	<L 
580	583	404004	JDJ 
584	590	404005	>BJ+HM 
591	592	404006	B-
593	593	404007	-
594	597	404008	CJR 
598	601	404009	BJT 
602	606	404010	JHWH 
607	608	404011	B-
609	615	404012	MYLTJM 
616	621	404013	NBLJM 
622	623	404014	W-
624	629	404015	KNRWT 
630	631	404016	L-
632	636	404017	<BDT 
637	640	404018	BJT 
641	642	404019	H-
643	648	404020	>LHJM 
649	651	404021	<L 
652	655	404022	JDJ 
656	657	404023	H-
658	661	404024	MLK 
662	665	404025	>SP 
666	667	404026	W-
668	674	404027	JDWTWN 
675	676	404028	W-
677	681	404029	HJMN 
685	686	404030	W-
687	690	404031	JHJ 
691	697	404032	MSPR+M 
698	700	404033	<M 
701	707	404034	>XJ+HM 
708	713	404035	MLMDJ 
714	717	404036	CJR 
718	719	404037	L-
720	724	404038	JHWH 
725	727	404039	KL 
728	729	404040	H-
730	734	404041	MBJN 
735	740	404042	M>TJM 
741	747	404043	CMWNJM 
748	749	404044	W-
750	755	404045	CMWNH 
759	760	404046	W-
761	766	404047	JPJLW 
767	773	404048	GWRLWT 
774	779	404049	MCMRT 
780	781	404050	L-
782	785	404051	<MT 
786	787	404052	K-
788	788	404053	-
789	792	404054	QVN 
793	794	404055	K-
795	795	404056	-
796	800	404057	GDWL 
801	805	404058	MBJN 
806	808	404059	<M 
809	814	404060	TLMJD 
818	819	404061	W-
820	823	404062	JY> 
824	825	404063	H-
826	830	404064	GWRL 
831	832	404065	H-
833	838	404066	R>CWN 
839	840	404067	L-
841	844	404068	>SP 
845	846	404069	L-
847	851	404070	JWSP 
852	858	404071	GDLJHW 
859	860	404072	H-
861	864	404073	CNJ 
865	868	404074	HW> 
869	870	404075	W-
871	876	404076	>XJ+W 
877	878	404077	W-
879	884	404078	BNJ+W 
885	889	404079	CNJM 
890	893	404080	<FR 
898	899	404081	H-
900	904	404082	CLCJ 
905	909	404083	ZKWR 
910	915	404084	BNJ+W 
916	917	404085	W-
918	923	404086	>XJ+W 
924	928	404087	CNJM 
929	932	404088	<FR 
937	938	404089	H-
939	944	404090	RBJ<J 
945	946	404091	L-
947	947	404092	-
948	952	404093	JYRJ 
953	958	404094	BNJ+W 
959	960	404095	W-
961	966	404096	>XJ+W 
967	971	404097	CNJM 
972	975	404098	<FR 
980	981	404099	H-
982	987	404100	XMJCJ 
988	994	404101	NTNJHW 
995	1000	404102	BNJ+W 
1001	1002	404103	W-
1003	1008	404104	>XJ+W 
1009	1013	404105	CNJM 
1014	1017	404106	<FR 
1022	1023	404107	H-
1024	1027	404108	CCJ 
1028	1033	404109	BQJHW 
1034	1039	404110	BNJ+W 
1040	1041	404111	W-
1042	1047	404112	>XJ+W 
1048	1052	404113	CNJM 
1053	1056	404114	<FR 
1061	1062	404115	H-
1063	1067	404116	CB<J 
1068	1074	404117	JFR>LH 
1075	1080	404118	BNJ+W 
1081	1082	404119	W-
1083	1088	404120	>XJ+W 
1089	1093	404121	CNJM 
1094	1097	404122	<FR 
1102	1103	404123	H-
1104	1109	404124	CMJNJ 
1110	1116	404125	JC<JHW 
1117	1122	404126	BNJ+W 
1123	1124	404127	W-
1125	1130	404128	>XJ+W 
1131	1135	404129	CNJM 
1136	1139	404130	<FR 
1144	1145	404131	H-
1146	1151	404132	TCJ<J 
1152	1158	404133	MTNJHW 
1159	1164	404134	BNJ+W 
1165	1166	404135	W-
1167	1172	404136	>XJ+W 
1173	1177	404137	CNJM 
1178	1181	404138	<FR 
1186	1187	404139	H-
1188	1193	404140	<FJRJ 
1194	1198	404141	CM<J 
1199	1204	404142	BNJ+W 
1205	1206	404143	W-
1207	1212	404144	>XJ+W 
1213	1217	404145	CNJM 
1218	1221	404146	<FR 
1226	1230	404147	<CTJ 
1231	1234	404148	<FR 
1235	1240	404149	<ZR>L 
1241	1246	404150	BNJ+W 
1247	1248	404151	W-
1249	1254	404152	>XJ+W 
1255	1259	404153	CNJM 
1260	1263	404154	<FR 
1268	1269	404155	H-
1270	1274	404156	CNJM 
1275	1278	404157	<FR 
1279	1280	404158	L-
1281	1286	404159	XCBJH 
1287	1292	404160	BNJ+W 
1293	1294	404161	W-
1295	1300	404162	>XJ+W 
1301	1305	404163	CNJM 
