start_index	end_index	word_node	word
13	14	319359	L-
15	15	319360	-
16	20	319361	MNYX 
21	22	319362	B-
23	28	319363	NGJNT 
29	34	319364	MFKJL 
35	36	319365	L-
37	40	319366	DWD 
44	50	319367	H>ZJNH 
51	56	319368	>LHJM 
57	63	319369	TPLT+J 
64	65	319370	W-
66	68	319371	>L 
69	74	319372	TT<LM 
75	76	319373	M-
77	83	319374	TXNT+J 
87	93	319375	HQCJBH 
94	97	319376	L+J 
98	99	319377	W-
100	105	319378	<N+NJ 
106	110	319379	>RJD 
111	112	319380	B-
113	118	319381	FJX+J 
119	120	319382	W-
121	126	319383	>HJMH 
130	131	319384	M-
132	135	319385	QWL 
136	140	319386	>WJB 
141	142	319387	M-
143	146	319388	PNJ 
147	150	319389	<QT 
151	154	319390	RC< 
155	157	319391	KJ 
158	163	319392	JMJVW 
164	168	319393	<LJ+ 
169	172	319394	>WN 
173	174	319395	W-
175	176	319396	B-
177	179	319397	>P 
180	188	319398	JFVMW+NJ 
192	196	319399	LB+J 
197	201	319400	JXJL 
202	203	319401	B-
204	209	319402	QRB+J 
210	211	319403	W-
212	217	319404	>JMWT 
218	221	319405	MWT 
222	226	319406	NPLW 
227	231	319407	<LJ+ 
235	239	319408	JR>H 
240	241	319409	W-
242	245	319410	R<D 
246	249	319411	JB> 
250	253	319412	B+J 
254	255	319413	W-
256	262	319414	TKS+NJ 
263	268	319415	PLYWT 
272	273	319416	W-
274	277	319417	>MR 
278	280	319418	MJ 
281	284	319419	JTN 
285	288	319420	L+J 
289	292	319421	>BR 
293	294	319422	K-
295	295	319423	-
296	300	319424	JWNH 
301	306	319425	><WPH 
307	308	319426	W-
309	314	319427	>CKNH 
318	321	319428	HNH 
322	327	319429	>RXJQ 
328	331	319430	NDD 
332	336	319431	>LJN 
337	338	319432	B-
339	339	319433	-
340	344	319434	MDBR 
345	348	319435	SLH 
352	357	319436	>XJCH 
358	362	319437	MPLV 
363	366	319438	L+J 
367	368	319439	M-
369	372	319440	RWX 
373	376	319441	S<H 
377	378	319442	M-
379	382	319443	S<R 
387	390	319444	BL< 
391	395	319445	>DNJ 
396	399	319446	PLG 
400	406	319447	LCWN+M 
407	409	319448	KJ 
410	415	319449	R>JTJ 
416	419	319450	XMS 
420	421	319451	W-
422	425	319452	RJB 
426	427	319453	B-
428	428	319454	-
429	432	319455	<JR 
437	441	319456	JWMM 
442	443	319457	W-
444	448	319458	LJLH 
449	456	319459	JSWBB+H 
457	459	319460	<L 
460	467	319461	XWMTJ+H 
468	469	319462	W-
470	473	319463	>WN 
474	475	319464	W-
476	479	319465	<ML 
480	481	319466	B-
482	487	319467	QRB+H 
492	496	319468	HWWT 
497	498	319469	B-
499	504	319470	QRB+H 
505	506	319471	W-
507	509	319472	L> 
510	514	319473	JMJC 
515	516	319474	M-
517	522	319475	RXB+H 
523	525	319476	TK 
526	527	319477	W-
528	532	319478	MRMH 
