ADJV_C, XGR, start=6230, node=196292
VERB, <BR, start=7633, node=196653
ADJV_A, XJH, start=8230, node=196808
ADJV_A, XJH, start=8335, node=196838
ADVB, MXR, start=16579, node=198930
NEGA, L>, start=17515, node=199172
ADJV_A, >SWR, start=17747, node=199234
ADVB, MXR, start=18649, node=199468
PRDE, ZH, start=20198, node=199878
ADJV_A, RBJM, start=23860, node=200796
ADVB, MXR, start=25795, node=201270
VERB, QXT, start=31484, node=202732
VERB, XZQ, start=31511, node=202741
SUBS_P, HRWTJ, start=39056, node=204576
SUBS_C, MZBX, start=42271, node=205370
ADJV_A, R<JM, start=44124, node=205836
VERB, <FWT, start=44448, node=205910
VERB, CBT, start=45336, node=206123
ADJV_A, R>CWN, start=46850, node=206489
PRDE, ZH, start=48906, node=206994
ADJV_A, QVNJM, start=49283, node=207082
PRDE, ZH, start=59315, node=209539
PREP, L-, start=60967, node=209966
PREP, L-, start=61498, node=210111
SUBS_C, MZBX, start=62492, node=210375
ADJV_A, GDWL, start=63388, node=210603
VERB, MLK, start=69013, node=212013
