CONJ_P, W-, start=1588, node=71293
VERB, <DPJM, start=3341, node=71725
ADJV_C, KLJL, start=345, node=71859
PREP, >T, start=1037, node=72033
PRDE, >LH, start=1569, node=73123
PRDE, >LH, start=1815, node=73188
ADJV_A, JBCJM, start=201, node=73446
ADJV_A, BCLH, start=1422, node=73755
VERB, HQRB, start=576, node=75903
PREP, <D, start=1722, node=76200
ADVB, KH, start=2681, node=77487
ADVB, M>D, start=2947, node=77560
ADVB, M>D, start=1666, node=78281
ADJV_A, <YWM, start=962, node=78658
VERB, JKLT, start=1290, node=78744
PRDE, Z>T, start=2072, node=78946
PRDE, Z>T, start=2760, node=79109
ADJV_A, R<H, start=2936, node=79156
ADJV_C, ZBT, start=957, node=80294
ADJV_C, ZBT, start=1031, node=80312
PRDE, >LH, start=1949, node=80540
ADVB, GM, start=308, node=81376
ADJV_A, TMJMH, start=121, node=82034
ADJV_C, XLL, start=1287, node=82351
PRDE, ZH, start=341, node=82628
ADJV_A, NKBDJM, start=1205, node=84108
PREP, >T, start=3743, node=86793
PREP, B-, start=626, node=87499
PRDE, ZH, start=448, node=87981
PREP, L-, start=1320, node=88191
PREP, L-, start=1524, node=88242
PREP, L-, start=1715, node=88290
PREP, L-, start=1911, node=88339
PREP, L-, start=2102, node=88388
PREP, L-, start=2293, node=88436
PREP, L-, start=2543, node=88496
ADJV_C, XLWYJ, start=283, node=88946
PREP, >T, start=1595, node=89301
PREP, MN, start=2202, node=89470
VERB, B>, start=682, node=90059
PREP, L-, start=842, node=90101
NEGA, L>, start=1639, node=92237
NEGA, L>, start=1677, node=92246
NEGA, L>, start=1716, node=92256
