start_index	end_index	word_node	word
13	14	319620	L-
15	15	319621	-
16	20	319622	MNYX 
21	23	319623	<L 
24	28	319624	JWNT 
29	32	319625	>LM 
33	38	319626	RXQJM 
39	40	319627	L-
41	44	319628	DWD 
45	49	319629	MKTM 
50	51	319630	B-
52	55	319631	>XZ 
56	60	319632	>T+W 
61	67	319633	PLCTJM 
68	69	319634	B-
70	72	319635	GT 
76	81	319636	XN+NJ 
82	87	319637	>LHJM 
88	90	319638	KJ 
91	97	319639	C>P+NJ 
98	102	319640	>NWC 
103	105	319641	KL 
106	107	319642	H-
108	111	319643	JWM 
112	115	319644	LXM 
116	123	319645	JLXY+NJ 
127	131	319646	C>PW 
132	138	319647	CWRRJ+ 
139	141	319648	KL 
142	143	319649	H-
144	147	319650	JWM 
148	150	319651	KJ 
151	155	319652	RBJM 
156	161	319653	LXMJM 
162	165	319654	L+J 
166	170	319655	MRWM 
174	177	319656	JWM 
178	182	319657	>JR> 
183	186	319658	>NJ 
187	192	319659	>LJ+K 
193	197	319660	>BVX 
201	202	319661	B-
203	208	319662	>LHJM 
209	213	319663	>HLL 
214	219	319664	DBR+W 
220	221	319665	B-
222	227	319666	>LHJM 
228	233	319667	BVXTJ 
234	236	319668	L> 
237	241	319669	>JR> 
242	244	319670	MH 
245	249	319671	J<FH 
250	253	319672	BFR 
254	257	319673	L+J 
261	263	319674	KL 
264	265	319675	H-
266	269	319676	JWM 
270	275	319677	DBRJ+ 
276	281	319678	J<YBW 
282	286	319679	<LJ+ 
287	289	319680	KL 
290	297	319681	MXCBT+M 
298	299	319682	L-
300	300	319683	-
301	303	319684	R< 
307	312	319685	JGWRW 
313	319	319686	JYPJNW 
320	323	319687	HMH 
324	329	319688	<QBJ+ 
330	335	319689	JCMRW 
336	337	319690	K-
338	341	319691	>CR 
342	345	319692	QWW 
346	351	319693	NPC+J 
355	357	319694	<L 
358	361	319695	>WN 
362	365	319696	PLV 
366	370	319697	L+MW 
371	372	319698	B-
373	375	319699	>P 
376	380	319700	<MJM 
381	385	319701	HWRD 
386	391	319702	>LHJM 
395	398	319703	NDJ 
399	404	319704	SPRTH 
405	408	319705	>TH 
409	413	319706	FJMH 
414	420	319707	DM<T+J 
421	422	319708	B-
423	428	319709	N>D+K 
429	430	319710	H-
431	433	319711	L> 
434	435	319712	B-
436	442	319713	SPRT+K 
447	449	319714	>Z 
450	455	319715	JCWBW 
456	462	319716	>WJBJ+ 
463	467	319717	>XWR 
468	469	319718	B-
470	473	319719	JWM 
474	478	319720	>QR> 
479	481	319721	ZH 
482	487	319722	JD<TJ 
488	490	319723	KJ 
491	496	319724	>LHJM 
497	500	319725	L+J 
505	506	319726	B-
507	512	319727	>LHJM 
513	517	319728	>HLL 
518	521	319729	DBR 
522	523	319730	B-
524	528	319731	JHWH 
529	533	319732	>HLL 
534	537	319733	DBR 
542	543	319734	B-
544	549	319735	>LHJM 
550	555	319736	BVXTJ 
556	558	319737	L> 
559	563	319738	>JR> 
564	566	319739	MH 
567	571	319740	J<FH 
572	575	319741	>DM 
576	579	319742	L+J 
584	588	319743	<LJ+ 
589	594	319744	>LHJM 
595	601	319745	NDRJ+K 
602	606	319746	>CLM 
607	611	319747	TWDT 
612	615	319748	L+K 
620	622	319749	KJ 
623	627	319750	HYLT 
628	633	319751	NPC+J 
634	635	319752	M-
636	639	319753	MWT 
640	641	319754	H-
642	644	319755	L> 
645	650	319756	RGLJ+ 
651	652	319757	M-
653	656	319758	DXJ 
657	658	319759	L-
659	664	319760	HTHLK 
665	666	319761	L-
667	670	319762	PNJ 
671	676	319763	>LHJM 
677	678	319764	B-
679	682	319765	>WR 
683	684	319766	H-
685	689	319767	XJJM 
